timestamp,district,file_type,status,filename,output_folder,source_url,details
2026-07-23T16:49:39,Bidar,PDF File,SUCCESS,05 Bidar.zip,E:\KSRSAC files\Hobli Boundaries\Bidar\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/PDF/05_Bidar.zip,Extracted 1 file(s)
2026-07-23T16:49:43,Bidar,Shape File,SUCCESS,05 Bidar.zip,E:\KSRSAC files\Hobli Boundaries\Bidar\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/Shapefiles/05_Bidar.zip,Extracted 7 file(s)
2026-07-23T16:49:48,Bidar,KML File,SUCCESS,05 Bidar.zip,E:\KSRSAC files\Hobli Boundaries\Bidar\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/KML/05_Bidar.zip,Extracted 1 file(s)
2026-07-23T16:50:08,Chamarajanagara,PDF File,SUCCESS,27 Chamarajanagara.zip,E:\KSRSAC files\Hobli Boundaries\Chamarajanagara\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/PDF/27_Chamarajanagara.zip,Extracted 1 file(s)
2026-07-23T16:50:27,Chamarajanagara,Shape File,SUCCESS,27 Chamarajanagara.zip,E:\KSRSAC files\Hobli Boundaries\Chamarajanagara\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/Shapefiles/27_Chamarajanagara.zip,Extracted 7 file(s)
2026-07-23T16:50:31,Chamarajanagara,KML File,SUCCESS,27 Chamarajanagara.zip,E:\KSRSAC files\Hobli Boundaries\Chamarajanagara\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/KML/27_Chamarajanagara.zip,Extracted 1 file(s)
2026-07-23T16:50:36,Chikkaballapura,PDF File,SUCCESS,28 Chikkaballapura.zip,E:\KSRSAC files\Hobli Boundaries\Chikkaballapura\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/PDF/28_Chikkaballapura.zip,Extracted 1 file(s)
2026-07-23T16:50:41,Chikkaballapura,Shape File,SUCCESS,28 Chikkaballapura.zip,E:\KSRSAC files\Hobli Boundaries\Chikkaballapura\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/Shapefiles/28_Chikkaballapura.zip,Extracted 7 file(s)
2026-07-23T16:51:00,Chikkaballapura,KML File,SUCCESS,28 Chikkaballapura.zip,E:\KSRSAC files\Hobli Boundaries\Chikkaballapura\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/KML/28_Chikkaballapura.zip,Extracted 1 file(s)
2026-07-23T16:51:05,Chikkamagaluru,PDF File,SUCCESS,17 Chikkamagaluru.zip,E:\KSRSAC files\Hobli Boundaries\Chikkamagaluru\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/PDF/17_Chikkamagaluru.zip,Extracted 1 file(s)
2026-07-23T16:51:10,Chikkamagaluru,Shape File,SUCCESS,17 Chikkamagaluru.zip,E:\KSRSAC files\Hobli Boundaries\Chikkamagaluru\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/Shapefiles/17_Chikkamagaluru.zip,Extracted 7 file(s)
2026-07-23T16:51:15,Chikkamagaluru,KML File,SUCCESS,17 Chikkamagaluru.zip,E:\KSRSAC files\Hobli Boundaries\Chikkamagaluru\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/KML/17_Chikkamagaluru.zip,Extracted 1 file(s)
2026-07-23T16:51:19,Chitradurga,PDF File,SUCCESS,13 Chitradurga.zip,E:\KSRSAC files\Hobli Boundaries\Chitradurga\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/PDF/13_Chitradurga.zip,Extracted 1 file(s)
2026-07-23T16:51:24,Chitradurga,Shape File,SUCCESS,13 Chitradurga.zip,E:\KSRSAC files\Hobli Boundaries\Chitradurga\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/Shapefiles/13_Chitradurga.zip,Extracted 7 file(s)
2026-07-23T16:51:29,Chitradurga,KML File,SUCCESS,13 Chitradurga.zip,E:\KSRSAC files\Hobli Boundaries\Chitradurga\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/KML/13_Chitradurga.zip,Extracted 1 file(s)
2026-07-23T16:51:34,Dakshina Kannada,PDF File,SUCCESS,24 Dakshina Kannada.zip,E:\KSRSAC files\Hobli Boundaries\Dakshina Kannada\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/PDF/24_Dakshina%20Kannada.zip,Extracted 1 file(s)
2026-07-23T16:51:40,Dakshina Kannada,Shape File,SUCCESS,24 Dakshina Kannada.zip,E:\KSRSAC files\Hobli Boundaries\Dakshina Kannada\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/Shapefiles/24_Dakshina%20Kannada.zip,Extracted 4 file(s)
2026-07-23T16:51:45,Dakshina Kannada,KML File,SUCCESS,24 Dakshina Kannada.zip,E:\KSRSAC files\Hobli Boundaries\Dakshina Kannada\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/KML/24_Dakshina%20Kannada.zip,Extracted 1 file(s)
2026-07-23T16:51:49,Davanagere,PDF File,SUCCESS,14 Davanagere.zip,E:\KSRSAC files\Hobli Boundaries\Davanagere\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/PDF/14_Davanagere.zip,Extracted 1 file(s)
2026-07-23T16:51:54,Davanagere,Shape File,SUCCESS,14 Davanagere.zip,E:\KSRSAC files\Hobli Boundaries\Davanagere\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/Shapefiles/14_Davanagere.zip,Extracted 7 file(s)
2026-07-23T16:51:59,Davanagere,KML File,SUCCESS,14 Davanagere.zip,E:\KSRSAC files\Hobli Boundaries\Davanagere\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/KML/14_Davanagere.zip,Extracted 1 file(s)
2026-07-23T16:52:04,Dharwad,PDF File,SUCCESS,09 Dharwad.zip,E:\KSRSAC files\Hobli Boundaries\Dharwad\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/PDF/09_Dharwad.zip,Extracted 1 file(s)
2026-07-23T16:52:09,Dharwad,Shape File,SUCCESS,09 Dharwad.zip,E:\KSRSAC files\Hobli Boundaries\Dharwad\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/Shapefiles/09_Dharwad.zip,Extracted 7 file(s)
2026-07-23T16:52:14,Dharwad,KML File,SUCCESS,09 Dharwad.zip,E:\KSRSAC files\Hobli Boundaries\Dharwad\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/KML/09_Dharwad.zip,Extracted 1 file(s)
2026-07-23T16:52:19,Gadag,PDF File,SUCCESS,08 Gadag.zip,E:\KSRSAC files\Hobli Boundaries\Gadag\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/PDF/08_Gadag.zip,Extracted 1 file(s)
2026-07-23T16:52:24,Gadag,Shape File,SUCCESS,08 Gadag.zip,E:\KSRSAC files\Hobli Boundaries\Gadag\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Hobli/Shapefiles/08_Gadag.zip,Extracted 7 file(s)
